json_path,observed_types,occurrences,null_occurrences,sample_values
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.gamesPlayed,integer,25,0,"[1, 2, 5, 3, 4]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.groundIntoDoublePlay,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.groundIntoTriplePlay,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.groundOuts,integer,25,0,"[0, 1, 8, 5, 7]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.groundOutsToAirouts,string,25,0,"[""-.--"", ""0.00"", ""1.00"", ""2.00"", ""0.63""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.hitByPitch,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.hits,integer,25,0,"[0, 1, 3, 5, 6]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.homeRuns,integer,25,0,"[0, 1, 3, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.intentionalWalks,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.leftOnBase,integer,25,0,"[0, 2, 1, 11, 7]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.lineOuts,integer,25,0,"[0, 3, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.obp,string,25,0,"["".000"", "".333"", "".500"", "".150"", "".304""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.ops,string,25,0,"["".000"", "".333"", ""2.500"", "".350"", "".725""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.pickoffs,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.plateAppearances,integer,25,0,"[0, 2, 1, 3, 20]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.popOuts,integer,25,0,"[0, 1, 3, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.rbi,integer,25,0,"[0, 2, 1, 5, 3]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.runs,integer,25,0,"[0, 1, 4, 6, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.sacBunts,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.sacFlies,integer,25,0,"[0, 2, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.slg,string,25,0,"["".000"", ""2.000"", "".200"", "".421"", "".364""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.stolenBasePercentage,string,25,0,"["".---"", ""1.000""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.stolenBases,integer,25,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.strikeOuts,integer,25,0,"[0, 1, 2, 5, 3]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.totalBases,integer,25,0,"[0, 4, 8, 3, 19]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.triples,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.assists,integer,25,0,"[0, 1, 2, 4, 16]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.caughtStealing,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.caughtStealingPercentage,string,25,0,"["".---"", "".500""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.chances,integer,25,0,"[0, 2, 3, 1, 7]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.errors,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.fielding,string,25,0,"["".000"", "".500"", ""1.000"", "".952"", "".923""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.gamesStarted,integer,9,0,[1]
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.passedBall,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.pickoffs,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.putOuts,integer,25,0,"[0, 3, 1, 4, 15]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.stolenBasePercentage,string,25,0,"["".---"", "".500""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.fielding.stolenBases,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.airOuts,integer,25,0,"[1, 6, 2, 8, 11]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.atBats,integer,25,0,"[3, 23, 8, 9, 22]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.balks,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.balls,integer,25,0,"[2, 38, 17, 11, 30]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.baseOnBalls,integer,25,0,"[0, 2, 3, 1, 5]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.battersFaced,integer,25,0,"[3, 27, 10, 9, 25]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.blownSaves,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.catchersInterference,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.caughtStealing,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.caughtStealingPercentage,string,25,0,"["".---"", "".000"", ""1.000""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.completeGames,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.doubles,integer,25,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.earnedRuns,integer,25,0,"[0, 7, 3, 8, 4]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.era,string,25,0,"[""0.00"", ""11.81"", ""4.50"", ""14.40"", ""17.18""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.flyOuts,integer,25,0,"[1, 5, 4, 2, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.gamesFinished,integer,25,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.gamesPitched,integer,25,0,"[1, 2, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.gamesPlayed,integer,25,0,"[1, 2, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.gamesStarted,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.groundOuts,integer,25,0,"[0, 7, 2, 4, 6]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.groundOutsToAirouts,string,25,0,"[""0.00"", ""1.17"", ""1.00"", ""2.00"", ""0.88""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.hitBatsmen,integer,25,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.hitByPitch,integer,25,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.hits,integer,25,0,"[0, 8, 2, 1, 5]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.hitsPer9Inn,string,25,0,"[""0.00"", ""13.50"", ""9.00"", ""3.00"", ""7.50""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.holds,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.homeRuns,integer,25,0,"[0, 2, 1, 4]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.homeRunsPer9,string,25,0,"[""0.00"", ""3.38"", ""1.50"", ""7.20"", ""9.82""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.inheritedRunners,integer,25,0,"[0, 2, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.inheritedRunnersScored,integer,25,0,"[0, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.inningsPitched,string,25,0,"[""1.0"", ""5.1"", ""2.0"", ""3.0"", ""6.0""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.intentionalWalks,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.lineOuts,integer,25,0,"[0, 1, 2, 3]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.losses,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.numberOfPitches,integer,25,0,"[11, 101, 42, 33, 88]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.obp,string,25,0,"["".000"", "".423"", "".400"", "".111"", "".280""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.outs,integer,25,0,"[3, 16, 6, 9, 18]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.passedBall,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.pickoffs,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.pitchesPerInning,string,25,0,"[""11.00"", ""18.94"", ""21.00"", ""14.67"", ""17.80""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.pitchesThrown,integer,14,0,"[11, 101, 42, 33, 88]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.popOuts,integer,25,0,"[0, 1, 2, 4]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.rbi,integer,25,0,"[0, 3]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.runs,integer,25,0,"[0, 8, 3, 7, 5]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.runsScoredPer9,string,25,0,"[""0.00"", ""13.50"", ""4.50"", ""14.40"", ""17.18""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.sacBunts,integer,25,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.sacFlies,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.saveOpportunities,integer,25,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.saves,integer,25,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.shutouts,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.stolenBasePercentage,string,25,0,"["".---"", ""1.000"", "".000""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.stolenBases,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.strikeOuts,integer,25,0,"[2, 3, 1, 0, 9]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.strikePercentage,string,25,0,"["".820"", "".620"", "".600"", "".670"", "".660""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.strikeoutWalkRatio,string,25,0,"[""-.--"", ""1.50"", ""1.00"", ""0.50"", ""0.33""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.strikeoutsPer9Inn,string,25,0,"[""18.00"", ""5.06"", ""9.00"", ""6.00"", ""4.50""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.strikes,integer,25,0,"[9, 63, 25, 22, 58]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.triples,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.walksPer9Inn,string,25,0,"[""0.00"", ""3.38"", ""9.00"", ""3.00"", ""3.60""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.whip,string,25,0,"[""0.00"", ""1.88"", ""2.00"", ""0.33"", ""1.17""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.wildPitches,integer,25,0,"[0, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.winPercentage,string,25,0,"["".---"", "".000"", ""1.000""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.pitching.wins,integer,25,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.stats.batting,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.stats.batting.airOuts,integer,11,0,"[0, 1, 2, 3]"
$.liveData.boxscore.teams.away.players.*.stats.batting.atBats,integer,11,0,"[1, 2, 5, 4, 3]"
$.liveData.boxscore.teams.away.players.*.stats.batting.atBatsPerHomeRun,string,11,0,"[""-.--"", ""5.00""]"
$.liveData.boxscore.teams.away.players.*.stats.batting.baseOnBalls,integer,11,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.catchersInterference,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.caughtStealing,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.doubles,integer,11,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.flyOuts,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.gamesPlayed,integer,11,0,[1]
$.liveData.boxscore.teams.away.players.*.stats.batting.groundIntoDoublePlay,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.groundIntoTriplePlay,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.groundOuts,integer,11,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.hitByPitch,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.hits,integer,11,0,"[0, 1, 3, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.homeRuns,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.intentionalWalks,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.leftOnBase,integer,11,0,"[0, 2, 3, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.lineOuts,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.note,string,1,0,"[""a-""]"
$.liveData.boxscore.teams.away.players.*.stats.batting.pickoffs,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.plateAppearances,integer,11,0,"[1, 3, 5]"
$.liveData.boxscore.teams.away.players.*.stats.batting.popOuts,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.rbi,integer,11,0,"[0, 1, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.runs,integer,11,0,"[0, 1, 3, 2]"
$.liveData.boxscore.teams.away.players.*.stats.batting.sacBunts,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.batting.sacFlies,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.stolenBasePercentage,string,11,0,"["".---"", ""1.000""]"
$.liveData.boxscore.teams.away.players.*.stats.batting.stolenBases,integer,11,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.batting.strikeOuts,integer,11,0,"[1, 2, 0]"
$.liveData.boxscore.teams.away.players.*.stats.batting.summary,string,11,0,"[""0-1 | K"", ""0-2 | BB, K"", ""1-5 | K, RBI"", ""1-4 | 2B, 2 K, 2 RBI"", ""3-5 | K, RBI, 3 R""]"
$.liveData.boxscore.teams.away.players.*.stats.batting.totalBases,integer,11,0,"[0, 1, 2, 3, 5]"
$.liveData.boxscore.teams.away.players.*.stats.batting.triples,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.fielding,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.stats.fielding.assists,integer,11,0,"[0, 2, 1, 4]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.caughtStealing,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.fielding.caughtStealingPercentage,string,11,0,"["".---""]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.chances,integer,11,0,"[0, 2, 1, 5, 3]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.errors,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.fielding.fielding,string,11,0,"["".000""]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.gamesStarted,integer,9,0,[1]
$.liveData.boxscore.teams.away.players.*.stats.fielding.passedBall,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.fielding.pickoffs,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.fielding.putOuts,integer,11,0,"[0, 1, 3, 2, 11]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.stolenBasePercentage,string,11,0,"["".---""]"
$.liveData.boxscore.teams.away.players.*.stats.fielding.stolenBases,integer,11,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.stats.pitching.airOuts,integer,2,0,"[2, 8]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.atBats,integer,2,0,"[9, 22]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.balks,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.balls,integer,2,0,"[11, 30]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.baseOnBalls,integer,2,0,"[0, 2]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.battersFaced,integer,2,0,"[9, 25]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.blownSaves,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.catchersInterference,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.caughtStealing,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.completeGames,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.doubles,integer,2,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.earnedRuns,integer,2,0,"[0, 3]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.flyOuts,integer,2,0,"[1, 4]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.gamesFinished,integer,2,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.gamesPitched,integer,2,0,[1]
$.liveData.boxscore.teams.away.players.*.stats.pitching.gamesPlayed,integer,2,0,[1]
$.liveData.boxscore.teams.away.players.*.stats.pitching.gamesStarted,integer,2,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.groundOuts,integer,2,0,"[4, 7]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.hitBatsmen,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.hitByPitch,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.hits,integer,2,0,"[1, 5]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.holds,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.homeRuns,integer,2,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.homeRunsPer9,string,2,0,"[""0.00"", ""1.50""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.inheritedRunners,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.inheritedRunnersScored,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.inningsPitched,string,2,0,"[""3.0"", ""6.0""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.intentionalWalks,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.lineOuts,integer,2,0,"[0, 2]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.losses,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.note,string,2,0,"[""(S, 1)"", ""(W, 1-0)""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.numberOfPitches,integer,2,0,"[33, 88]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.outs,integer,2,0,"[9, 18]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.passedBall,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.pickoffs,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.pitchesThrown,integer,2,0,"[33, 88]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.popOuts,integer,2,0,"[1, 2]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.rbi,integer,2,0,"[0, 3]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.runs,integer,2,0,"[0, 3]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.runsScoredPer9,string,2,0,"[""0.00"", ""4.50""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.sacBunts,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.sacFlies,integer,2,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.saveOpportunities,integer,2,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.saves,integer,2,0,"[1, 0]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.shutouts,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.stolenBasePercentage,string,2,0,"["".---""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.stolenBases,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.strikeOuts,integer,2,0,"[2, 3]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.strikePercentage,string,2,0,"["".670"", "".660""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.strikes,integer,2,0,"[22, 58]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.summary,string,2,0,"[""3.0 IP, 0 ER, 2 K, 0 BB"", ""6.0 IP, 3 ER, 3 K, 2 BB""]"
$.liveData.boxscore.teams.away.players.*.stats.pitching.triples,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.wildPitches,integer,2,0,[0]
$.liveData.boxscore.teams.away.players.*.stats.pitching.wins,integer,2,0,"[0, 1]"
$.liveData.boxscore.teams.away.players.*.status,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.status.code,string,25,0,"[""A""]"
$.liveData.boxscore.teams.away.players.*.status.description,string,25,0,"[""Active""]"
$.liveData.boxscore.teams.away.team,object,1,0,[]
$.liveData.boxscore.teams.away.team.allStarStatus,string,1,0,"[""N""]"
$.liveData.boxscore.teams.away.team.id,integer,1,0,[109]
$.liveData.boxscore.teams.away.team.link,string,1,0,"[""/api/v1/teams/109""]"
$.liveData.boxscore.teams.away.team.name,string,1,0,"[""Arizona Diamondbacks""]"
$.liveData.boxscore.teams.away.team.springLeague,object,1,0,[]
$.liveData.boxscore.teams.away.team.springLeague.abbreviation,string,1,0,"[""CL""]"
$.liveData.boxscore.teams.away.team.springLeague.id,integer,1,0,[114]
$.liveData.boxscore.teams.away.team.springLeague.link,string,1,0,"[""/api/v1/league/114""]"
$.liveData.boxscore.teams.away.team.springLeague.name,string,1,0,"[""Cactus League""]"
$.liveData.boxscore.teams.away.teamStats,object,1,0,[]
$.liveData.boxscore.teams.away.teamStats.batting,object,1,0,[]
$.liveData.boxscore.teams.away.teamStats.batting.airOuts,integer,1,0,[9]
$.liveData.boxscore.teams.away.teamStats.batting.atBats,integer,1,0,[40]
$.liveData.boxscore.teams.away.teamStats.batting.atBatsPerHomeRun,string,1,0,"[""40.00""]"
$.liveData.boxscore.teams.away.teamStats.batting.avg,string,1,0,"["".278""]"
$.liveData.boxscore.teams.away.teamStats.batting.baseOnBalls,integer,1,0,[4]
$.liveData.boxscore.teams.away.teamStats.batting.catchersInterference,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.caughtStealing,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.doubles,integer,1,0,[5]
$.liveData.boxscore.teams.away.teamStats.batting.flyOuts,integer,1,0,[5]
$.liveData.boxscore.teams.away.teamStats.batting.groundIntoDoublePlay,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.batting.groundIntoTriplePlay,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.groundOuts,integer,1,0,[9]
$.liveData.boxscore.teams.away.teamStats.batting.hitByPitch,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.hits,integer,1,0,[15]
$.liveData.boxscore.teams.away.teamStats.batting.homeRuns,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.batting.intentionalWalks,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.leftOnBase,integer,1,0,[16]
$.liveData.boxscore.teams.away.teamStats.batting.lineOuts,integer,1,0,[3]
$.liveData.boxscore.teams.away.teamStats.batting.obp,string,1,0,"["".322""]"
$.liveData.boxscore.teams.away.teamStats.batting.ops,string,1,0,"["".822""]"
$.liveData.boxscore.teams.away.teamStats.batting.pickoffs,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.plateAppearances,integer,1,0,[45]
$.liveData.boxscore.teams.away.teamStats.batting.popOuts,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.batting.rbi,integer,1,0,[9]
$.liveData.boxscore.teams.away.teamStats.batting.runs,integer,1,0,[10]
$.liveData.boxscore.teams.away.teamStats.batting.sacBunts,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.batting.sacFlies,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.batting.slg,string,1,0,"["".500""]"
$.liveData.boxscore.teams.away.teamStats.batting.stolenBasePercentage,string,1,0,"[""1.000""]"
$.liveData.boxscore.teams.away.teamStats.batting.stolenBases,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.batting.strikeOuts,integer,1,0,[8]
$.liveData.boxscore.teams.away.teamStats.batting.totalBases,integer,1,0,[23]
$.liveData.boxscore.teams.away.teamStats.batting.triples,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.fielding,object,1,0,[]
$.liveData.boxscore.teams.away.teamStats.fielding.assists,integer,1,0,[9]
$.liveData.boxscore.teams.away.teamStats.fielding.caughtStealing,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.fielding.caughtStealingPercentage,string,1,0,"["".---""]"
$.liveData.boxscore.teams.away.teamStats.fielding.chances,integer,1,0,[36]
$.liveData.boxscore.teams.away.teamStats.fielding.errors,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.fielding.passedBall,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.fielding.pickoffs,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.fielding.putOuts,integer,1,0,[27]
$.liveData.boxscore.teams.away.teamStats.fielding.stolenBasePercentage,string,1,0,"["".---""]"
$.liveData.boxscore.teams.away.teamStats.fielding.stolenBases,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.pitching,object,1,0,[]
$.liveData.boxscore.teams.away.teamStats.pitching.airOuts,integer,1,0,[10]
$.liveData.boxscore.teams.away.teamStats.pitching.atBats,integer,1,0,[31]
$.liveData.boxscore.teams.away.teamStats.pitching.balks,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.pitching.balls,integer,1,0,[41]
$.liveData.boxscore.teams.away.teamStats.pitching.baseOnBalls,integer,1,0,[2]
$.liveData.boxscore.teams.away.teamStats.pitching.battersFaced,integer,1,0,[34]
$.liveData.boxscore.teams.away.teamStats.pitching.catchersInterference,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.pitching.caughtStealing,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.pitching.caughtStealingPercentage,string,1,0,"["".---""]"
$.liveData.boxscore.teams.away.teamStats.pitching.completeGames,integer,1,0,[0]
$.liveData.boxscore.teams.away.teamStats.pitching.doubles,integer,1,0,[1]
$.liveData.boxscore.teams.away.teamStats.pitching.earnedRuns,integer,1,0,[3]
